 test 0 FAIL

program output:

6
10
0 1 3
0 2 9
0 3 2
0 4 4
1 3 9
1 4 5
2 3 7
2 5 8
3 4 6
4 5 1

expected output:

7 9 7 6 8

test 1 FAIL

program output:

10
30
0 1 510
0 2 561
0 3 489
1 2 747
1 3 232
1 4 398
2 3 1091
2 4 477
2 5 130
3 4 423
3 5 574
3 6 297
4 5 330
4 6 277
4 7 248
5 6 289
5 7 105
5 8 373
6 7 260
6 8 270
6 9 129
7 8 418
7 9 789
0 7 595
8 9 147
0 8 67
1 8 301
0 9 958
1 9 412
2 9 972

expected output:

747 958 958 477 574 297 789 418 958

test 2 FAIL

program output:

400
1600
0 61 321
0 341 823
0 161 353
0 145 714
0 165 806
0 217 483
1 148 729
1 272 426
1 50 252
1 5 357
1 273 186
1 34 180
2 340 560
2 312 384
3 313 771
3 154 390
3 21 137
4 347 539
4 195 214
4 69 760
4 358 215
4 177 250
4 319 140
5 141 701
5 145 861
5 326 389
6 20 730
6 370 427
6 305 862
7 213 173
7 355 97
7 377 163
7 184 156
8 282 210
8 138 252
8 17 378
8 162 200
8 284 227
9 299 158
9 136 687
9 110 351
10 380 500
10 388 663
10 94 466
10 85 320
11 370 262
11 100 174
12 370 884
12 391 411
12 247 496
12 348 159
13 55 206
13 391 760
13 78 223
13 62 82
2 13 503
13 174 275
13 116 147
14 310 90
14 219 222
14 207 57
14 313 651
14 38 574
15 377 276
15 228 1032
15 23 452
16 175 310
16 267 700
16 73 1071
16 229 813
17 177 459
17 227 621
17 356 598
17 344 428
17 277 143
18 130 122
18 258 275
18 113 683
18 186 602
19 328 409
3 19 420
19 349 277
19 87 512
20 302 490
20 125 645
20 340 841
20 201 464
20 307 221
12 21 944
21 118 696
21 256 503
22 220 315
22 299 901
22 30 111
23 198 502
23 95 272
23 117 643
23 183 144
24 368 223
24 379 651
24 63 453
24 119 322
25 142 394
25 262 633
25 137 458
26 372 160
7 26 383
26 211 789
27 103 795
27 347 592
27 261 865
28 235 164
28 315 537
28 83 213
28 137 271
28 104 655
29 303 155
29 101 253
29 289 820
29 210 101
30 321 1095
20 30 555
0 31 563
31 199 267
31 345 321
31 303 302
31 120 1086
32 387 158
32 246 1112
32 347 255
33 267 973
33 194 652
33 279 152
33 44 275
34 49 530
34 102 447
34 323 503
16 34 280
35 385 756
35 226 601
35 238 250
35 324 686
35 61 562
35 362 870
36 281 277
36 268 67
36 249 810
36 56 125
36 125 295
36 393 116
37 81 655
37 271 165
37 384 1001
37 180 758
7 38 672
38 40 154
16 39 311
39 219 956
24 39 807
40 105 232
40 200 416
40 55 166
40 317 1033
40 78 293
41 75 584
41 203 464
41 135 488
41 382 454
42 280 508
42 319 377
42 125 602
42 210 587
43 80 345
43 341 399
43 55 333
43 245 322
43 381 416
44 204 563
44 245 638
44 118 141
44 211 678
45 255 652
45 225 388
45 54 484
46 189 166
12 46 1049
46 137 115
46 281 19
46 96 995
47 128 874
41 47 179
3 47 140
47 260 275
47 151 261
48 247 444
48 166 365
48 257 700
48 79 601
48 381 285
49 399 470
21 49 331
49 230 945
49 154 108
50 136 367
15 50 950
2 50 395
50 265 699
51 156 36
43 51 657
14 51 898
51 385 389
52 292 301
52 342 408
52 206 99
52 167 246
50 52 997
52 188 262
53 214 269
42 53 127
53 397 382
53 360 571
54 55 349
54 316 824
54 355 493
54 94 543
54 57 40
55 366 537
55 217 320
56 279 691
57 212 235
57 383 539
57 167 643
58 266 571
58 322 114
58 395 811
58 231 663
58 178 158
12 59 1024
59 363 484
59 383 984
51 59 846
59 367 768
59 165 802
60 106 342
43 60 358
60 274 280
60 158 352
60 312 193
61 139 54
61 156 443
36 61 437
21 62 442
62 387 302
62 159 183
63 250 640
63 313 680
63 287 672
64 364 451
64 190 261
64 178 1020
64 66 294
64 176 537
65 93 187
3 65 204
65 218 266
6 65 617
66 326 224
66 362 1017
66 233 645
66 226 359
67 304 338
67 163 199
68 339 127
68 101 389
68 265 148
68 173 434
5 68 999
68 191 481
68 290 532
69 259 266
69 71 716
69 209 716
70 266 808
70 280 456
70 367 714
70 136 99
70 311 104
71 288 548
71 155 597
71 297 504
71 128 755
60 71 407
71 165 364
72 268 613
72 339 167
72 168 272
72 233 806
72 143 699
72 220 129
72 73 718
73 374 541
73 197 466
74 230 302
74 240 142
74 158 235
26 74 757
74 222 53
74 332 521
75 313 203
75 369 442
75 148 459
76 192 882
76 240 449
76 326 112
48 76 133
77 243 596
77 95 121
77 294 382
77 156 334
78 331 260
78 181 351
30 78 141
14 79 367
79 263 389
18 79 775
79 261 552
80 383 870
5 80 198
80 255 617
53 80 323
81 321 440
76 81 692
81 241 128
81 164 177
81 175 303
81 349 263
20 82 285
82 234 919
82 131 764
82 246 138
82 83 804
83 314 561
83 220 189
48 84 336
84 312 60
84 196 991
46 84 185
54 84 406
84 377 187
8 85 766
62 85 233
85 120 504
85 360 130
86 252 915
86 219 495
86 92 684
86 314 121
86 313 462
21 86 659
87 372 892
2 87 498
87 371 677
88 133 518
88 127 563
88 115 880
88 386 758
25 88 190
89 90 191
89 305 662
89 230 212
89 325 474
89 320 470
6 89 704
90 147 531
90 124 504
51 91 884
91 217 690
91 116 824
91 344 397
92 347 886
19 92 859
92 387 261
79 93 104
66 93 661
93 311 265
93 289 746
93 399 156
94 374 556
94 389 242
32 94 493
95 298 343
10 95 210
80 96 449
96 100 876
96 188 362
97 181 819
97 367 552
97 287 328
97 199 280
79 97 397
98 113 509
27 98 653
98 272 713
98 290 614
90 98 617
99 248 833
82 99 623
99 333 172
99 256 974
100 316 643
100 254 303
101 396 338
101 205 253
101 233 458
101 372 811
101 121 206
59 102 500
102 270 324
60 102 480
33 102 680
103 336 704
80 103 478
27 104 416
104 216 452
104 281 428
105 123 649
105 338 138
106 259 404
106 127 520
106 231 320
106 354 294
106 193 401
57 107 783
107 215 291
107 353 476
108 273 592
108 162 79
100 108 511
109 149 185
109 189 826
94 110 215
110 155 302
78 110 766
110 283 493
90 111 448
111 171 105
111 129 423
111 357 313
111 123 789
100 111 138
112 223 401
112 239 757
112 138 920
112 255 668
112 349 469
91 112 340
113 371 520
