 test 0 FAIL

program output:

5 4
0 3
0 1 10
0 2 20
1 3 30
2 3 15
0 3 60

expected output:

60

test 1 FAIL

program output:

13089 230
131 106
0 192 378
0 99 7362
0 105 1569
0 32 5965
0 123 2928
0 57 646
0 215 7100
0 42 6100
0 223 5113
0 50 4492
0 116 4578
0 149 5005
0 112 9892
0 23 1197
0 44 6287
0 17 4599
0 81 1415
0 1 2777
0 205 2639
0 144 4639
0 83 6089
0 87 4947
0 115 4436
0 229 9076
0 88 484
0 26 6180
0 170 1833
0 74 7239
0 214 7818
0 73 8886
0 48 2292
0 124 7470
0 183 3641
0 148 5519
0 39 7296
0 10 1728
0 220 4068
0 197 5898
0 198 7545
0 122 4053
0 176 2349
0 217 2476
0 85 3381
1 205 5624
1 144 2316
1 54 1864
1 121 4299
1 93 4306
1 56 3618
1 26 6876
1 180 7145
1 170 9360
1 68 3164
1 74 9325
1 214 7695
1 73 2385
1 48 6542
1 193 5749
1 124 8476
1 147 8029
1 77 358
1 218 6294
1 10 3749
1 220 3309
1 197 5166
1 198 8315
1 122 9122
1 176 3982
1 95 5061
1 152 6622
1 4 213
2 127 5742
2 168 1664
2 169 3630
2 75 7984
2 194 2009
2 165 7669
2 196 6056
2 84 1854
2 101 4534
2 86 5215
2 162 2903
2 96 2956
2 209 3809
2 160 3938
2 202 2115
2 166 4648
2 104 9292
2 80 5712
2 6 6287
2 78 3880
2 188 436
2 134 9661
2 138 3672
2 100 9903
2 221 7105
2 155 3987
2 140 8186
2 175 435
2 34 226
2 41 5129
2 19 8857
2 29 4334
2 130 8604
2 71 6910
2 63 5889
2 182 4815
2 82 6286
2 172 7475
2 120 1138
2 16 1300
2 61 9517
2 55 4606
2 163 8018
2 187 8325
2 108 847
2 137 8687
2 114 6423
2 226 5511
2 161 348
2 65 3230
2 208 7740
2 60 9125
2 99 7422
2 11 2967
2 123 5230
2 57 2149
2 53 5781
2 52 8989
2 42 9643
2 224 550
2 30 4259
2 186 4026
2 223 2696
2 116 6993
2 9 1730
2 112 6879
2 107 5642
2 25 8003
2 44 5247
2 17 3824
2 97 4529
2 72 4669
2 171 8915
2 216 7354
2 81 711
2 181 2998
2 1 3177
2 206 6675
2 115 1966
2 153 5135
2 88 6722
2 26 8095
2 151 7834
2 74 6638
2 214 1062
2 48 9915
2 102 186
2 77 8837
2 39 7552
2 10 3455
2 220 7362
2 198 635
2 176 1019
2 95 6343
2 152 3960
2 4 3818
3 151 79
3 214 6459
3 48 2848
3 147 1715
3 92 3334
3 102 6460
3 145 4722
3 218 6470
3 148 2375
3 39 914
3 10 9244
3 158 9380
3 220 9823
3 197 4931
3 49 1306
3 152 5343
3 85 8843
4 85 2002
5 182 9142
5 82 9171
5 172 4172
5 40 715
5 7 5915
5 69 3152
5 125 2354
5 120 9141
5 38 9545
5 16 6006
5 62 7241
5 37 4747
5 55 5198
5 137 3405
5 226 3940
5 161 697
5 146 1838
5 192 8483
5 99 9145
5 32 8661
5 11 1203
5 123 2647
5 57 6470
5 52 9885
5 178 9317
5 215 8254
5 42 1805
5 224 5518
5 58 9351
5 186 1974
5 223 3549
5 50 4194
5 23 3649
5 107 7679
5 25 3989
5 44 7870
5 17 1044
5 216 6564
5 181 2766
5 205 3291
5 206 881
5 54 2868
5 83 7160
5 93 789
5 210 50
5 115 1839
5 164 388
5 88 5553
5 142 833
5 3 9528
5 170 5182
5 21 7280
5 151 9046
5 48 3479
5 193 4476
5 124 1405
5 147 6843
5 92 1632
5 77 2913
5 218 4980
5 39 9861
5 10 4592
5 158 2183
5 197 1953
5 198 7699
5 199 6989
5 95 8483
5 49 5451
5 4 9855
5 85 8916
6 66 7769
6 188 3952
6 134 8115
6 138 2565
6 221 5728
6 59 4728
6 140 5229
6 175 8195
6 225 743
6 34 5291
6 41 3406
6 156 9393
6 190 1537
6 136 2331
6 19 6237
6 29 499
6 130 183
6 133 816
6 63 6696
6 182 6305
6 150 4879
6 40 4023
6 120 7588
6 64 7277
6 38 4619
6 16 9356
6 132 5183
6 55 6037
6 139 110
6 163 3958
6 36 1296
6 137 1210
6 114 1028
6 226 1535
6 65 1471
6 208 3118
6 60 9252
6 207 1780
6 0 3751
6 99 4688
6 105 4804
6 11 6274
6 215 5585
6 42 3877
6 224 1001
6 30 1181
6 223 256
6 50 5673
6 116 9655
6 149 7540
6 9 1476
6 23 2320
6 113 8913
6 25 9578
6 44 6920
6 31 3508
6 17 9103
6 97 7951
6 171 9909
6 216 3052
6 81 208
6 181 5682
6 1 5299
6 205 2183
6 144 9671
6 83 9716
6 106 2453
6 210 6262
6 153 7701
6 229 4513
6 88 246
6 26 6895
6 3 9329
6 151 7934
6 74 3767
6 214 3245
6 73 6928
6 48 8757
6 147 2089
6 148 6151
6 10 3399
6 158 3054
6 220 2674
6 198 7070
6 199 7426
6 122 3982
6 49 113
6 152 356
6 217 1908
6 4 3293
7 69 591
7 64 7731
7 174 3694
7 132 2293
7 37 9721
7 55 9706
7 139 474
7 108 5253
7 65 1815
7 208 7640
7 146 4106
7 0 3351
7 192 9504
7 105 3649
7 32 713
7 123 250
7 52 7526
7 224 8452
7 58 8209
7 186 4845
7 149 1222
7 9 6730
7 112 5759
7 23 5975
7 107 6548
7 97 8338
7 72 3923
7 171 7730
7 216 3452
7 81 2300
7 181 8080
7 1 5230
7 205 8529
7 144 5813
7 206 3102
7 54 3694
7 83 9421
7 93 9345
7 56 200
7 115 1293
7 229 6351
7 180 1324
7 74 7067
7 214 3810
7 73 7484
7 48 9668
7 193 8468
7 9

expected output:

603525

test 2 FAIL

program output:

49906 10000
7926 485
7926 9080 5232
7926 2350 7092
7926 1621 2327
7926 6282 6215
7926 6476 7347
7926 3856 1446
7926 8677 6530
7926 692 1388
7926 3233 9724
7926 7806 3374
8058 6927 5301
8058 3295 5473
8058 2196 8065
8058 469 6131
8058 256 1931
8058 1203 611
8058 277 583
8058 4136 4019
8058 4716 4458
8058 6904 6757
7 7716 4794
7 9816 8032
7 7573 9056
7 1740 2470
7 7603 4298
7 8274 5797
7 7663 1628
7 6716 5208
7 7227 7624
7 3033 1825
3005 2169 4280
