
1838 87
62 68
0 59 4608
0 15 7926
0 55 1444
0 66 5094
0 6 3716
0 61 9198
0 27 7008
0 76 8016
0 54 1448
0 32 5160
0 50 9035
0 8 8413
0 29 9191
0 38 715
0 51 2625
0 79 4044
0 11 2212
0 35 1573
0 5 7200
0 57 5133
0 72 9770
0 80 2905
1 66 5574
1 33 1363
1 23 8267
1 43 8052
1 48 7984
1 76 3179
1 54 6394
1 32 209
1 60 548
1 68 486
1 56 536
1 51 7418
1 16 4999
1 11 5910
1 35 2867
1 52 6576
1 5 2705
1 67 4464
1 40 1289
2 1 3381
2 0 3570
2 15 942
2 55 4076
2 66 1558
2 33 195
2 6 8141
2 43 4914
2 61 4747
2 76 5426
2 65 6540
2 60 2599
2 13 3952
2 29 3918
2 56 3394
2 51 884
2 79 9114
2 35 7214
2 25 3968
2 52 2865
2 5 7790
2 71 2731
2 57 5015
2 45 9065
2 72 3152
2 80 1391
3 17 8470
3 46 3480
3 34 4202
3 30 8768
3 49 6499
3 73 436
3 22 6463
3 82 5267
3 24 7174
3 1 5498
3 0 586
3 59 7451
3 55 2368
3 23 1937
3 6 6330
3 43 7837
3 61 7364
3 65 8218
3 39 8661
3 8 8189
3 68 5065
3 56 1798
3 25 1885
3 5 3839
3 57 7176
3 72 2768
3 80 7551
4 30 6686
4 49 1196
4 36 9216
4 1 2825
4 0 6745
4 21 4302
4 59 8688
4 15 3072
4 33 1498
4 6 2444
4 61 408
4 27 5729
4 76 8314
4 65 6328
4 39 8917
4 8 2694
4 56 1867
4 38 5101
4 16 2596
4 79 7565
4 11 9076
4 25 5652
4 5 8204
4 45 3506
4 40 8776
5 86 5388
5 71 9224
5 57 7076
5 67 6986
5 45 4531
5 69 8994
5 72 6582
6 43 5147
6 27 1925
6 76 8053
6 65 9359
6 32 6160
6 60 1966
6 39 8028
6 8 5753
6 68 9662
6 29 2911
6 56 6576
6 16 1030
6 11 235
6 25 5016
6 52 3569
6 71 1458
6 57 5487
6 45 6541
6 69 9323
6 80 3901
6 40 4569
7 74 158
7 41 6887
7 44 2317
7 62 6059
7 14 7673
7 26 1595
7 64 2840
7 47 2778
7 9 9744
7 3 8081
7 17 279
7 46 6659
7 34 2947
7 30 1009
7 73 595
7 36 3538
7 22 8658
7 1 5583
7 55 6047
7 66 8467
7 33 9217
7 6 9316
7 48 1563
7 27 4920
7 54 3990
7 32 3845
7 8 7509
7 29 3310
7 38 1426
7 51 3282
7 35 272
7 52 582
7 5 1257
7 86 5520
7 45 7854
7 69 8453
7 72 5502
7 40 9587
8 38 3898
8 51 369
8 16 3829
8 79 310
8 35 120
8 25 4985
8 5 565
8 67 9203
8 45 8326
8 69 8191
8 72 7101
8 80 9635
9 17 5253
9 4 1928
9 30 2036
9 28 3858
9 22 4040
9 1 3001
9 21 5322
9 59 327
9 48 1389
9 27 8273
9 65 2184
9 32 6213
9 50 6906
9 56 8529
9 38 9953
9 16 4627
9 11 9822
9 35 5835
9 25 7627
9 52 7885
9 86 6639
9 71 5166
9 57 8864
9 67 5880
9 69 2618
9 40 1599
10 17 8898
10 46 3668
10 30 740
10 28 270
10 2 909
10 18 8314
10 82 2931
10 24 423
10 0 9229
10 59 9269
10 15 7584
10 55 5820
10 23 2784
10 43 5270
10 61 5414
10 48 650
10 27 2865
10 76 624
10 60 3445
10 39 7075
10 8 2315
10 56 3306
10 51 7168
10 16 4892
10 79 3219
10 11 3840
10 25 2468
10 5 1594
10 86 8916
10 71 4467
10 67 1592
10 45 8233
10 69 9080
10 80 3413
10 40 4676
11 52 4635
11 5 6604
11 86 4445
11 71 7460
11 45 1054
11 69 1502
11 72 2376
11 40 9051
12 9 3849
12 53 9330
12 17 4939
12 46 1407
12 34 2584
12 30 260
12 73 8664
12 28 9038
12 18 263
12 82 6584
12 21 68
12 59 6237
12 33 5997
12 23 3420
12 6 1032
12 43 3712
12 61 5450
12 48 8794
12 27 7485
12 76 8016
12 65 9117
12 32 6936
12 60 820
12 50 979
12 8 263
12 13 9391
12 51 6133
12 16 2836
12 11 7338
12 5 7769
12 86 1345
12 71 5014
12 57 285
12 67 5970
12 69 5362
13 16 9829
13 11 9419
13 86 7633
13 57 3846
14 26 6638
14 64 6150
14 47 8659
14 81 1048
14 19 8979
14 53 4288
14 3 8052
14 10 3714
14 34 3612
14 73 1702
14 36 9911
14 28 1762
14 1 3276
14 21 6794
14 59 4663
14 43 6156
14 61 9488
14 48 2636
14 76 567
14 32 6701
14 50 4411
14 39 118
14 68 7708
14 13 8284
14 29 707
14 56 9425
14 38 1808
14 51 1334
14 57 666
14 67 4318
14 45 8881
14 69 5421
14 80 4774
15 33 5023
15 23 2669
15 48 3868
15 76 3751
15 65 8852
15 32 7814
15 13 9141
15 38 6594
15 51 7615
15 52 9536
15 86 7642
15 67 1380
15 69 7973
16 79 96
16 11 9452
16 35 5888
16 25 7584
16 67 6962
16 72 3518
16 80 10
16 40 9723
17 30 9839
17 36 1801
17 24 5626
17 0 3771
17 15 954
17 43 3293
17 48 1377
17 27 3908
17 54 1973
17 65 9515
17 60 9669
17 39 3206
17 8 2746
17 13 5541
17 56 3068
17 51 7829
17 79 1008
17 25 5429
17 5 1487
17 86 347
17 71 5924
17 67 8226
17 45 6189
17 69 4348
17 80 9226
17 40 4960
18 1 3722
18 55 3661
18 33 4068
18 23 3471
18 43 1302
18 61 21
18 27 8690
18 54 7355
18 39 3587
18 29 6331
18 38 4726
18 51 4203
18 79 679
18 35 4560
18 52 90

