42539 413
202 234
0 42 4473
0 64 8735
0 359 8029
0 277 3086
0 387 6974
0 257 9454
0 46 8595
0 230 9431
0 144 6766
0 112 3204
0 327 8115
0 84 6862
0 311 9799
0 199 3760
0 282 1221
0 312 3551
0 85 9866
0 147 3254
0 325 6782
0 62 2792
0 164 9057
0 83 4833
0 281 8110
0 96 8448
0 401 2644
0 39 374
0 194 5264
0 3 6552
0 178 3320
0 170 2236
0 162 6221
0 188 8991
0 323 2269
0 275 3500
0 31 4876
0 219 7884
0 77 7349
0 152 4974
0 363 3891
0 407 2347
0 21 9860
0 75 6493
0 246 1427
0 155 401
0 399 4050
0 329 6720
0 334 4720
0 236 5166
0 14 5501
0 268 3117
0 301 4776
0 367 9270
0 29 6590
0 122 530
0 72 7225
0 69 737
0 166 7820
0 106 1389
0 99 8872
0 182 8153
0 376 8760
0 368 7503
0 25 1774
0 347 226
0 245 9507
0 320 1119
0 5 7291
0 243 5811
0 381 7547
0 173 6471
0 215 2566
0 51 2354
1 179 3290
1 185 5207
1 314 4852
1 56 6786
1 306 6602
1 378 1826
1 150 2014
1 91 316
1 400 4678
1 161 9049
1 382 7736
1 340 7819
1 383 2454
1 48 2248
1 354 9934
1 324 5472
1 373 1162
1 60 2474
1 337 3669
1 248 8707
1 87 9653
1 159 2524
1 66 7262
1 256 209
1 184 6465
1 158 1032
1 197 7336
1 270 9140
1 24 4078
1 200 1868
1 57 9399
1 398 8602
1 217 9715
1 101 726
1 258 8971
1 332 7098
1 167 4041
1 104 3054
1 129 21
1 259 2020
1 64 9806
1 359 4016
1 277 4872
1 257 8652
1 144 6017
1 385 9385
1 78 3148
1 327 7419
1 272 952
1 254 8331
1 168 4324
1 84 8259
1 199 6832
1 282 6937
1 186 8862
1 85 9001
1 147 4368
1 362 808
1 235 1572
1 349 8280
1 62 2247
1 339 1254
1 79 3217
1 377 8416
1 204 6857
1 401 9789
1 177 9874
1 145 1465
1 3 2667
1 213 1905
1 162 7741
1 188 1600
1 323 8014
1 285 3098
1 234 9104
1 219 9260
1 152 2259
1 407 3604
1 21 6858
1 75 7959
1 292 4893
1 246 8784
1 155 9069
1 329 8691
1 236 7213
1 29 9902
1 369 8603
1 72 2718
1 305 7904
1 166 2693
1 182 838
1 376 9515
1 390 53
1 25 4568
1 347 9850
1 245 1382
1 320 8955
1 173 2542
1 125 3047
1 287 5743
1 151 3279
1 222 2318
1 10 730
1 32 7721
1 149 8808
2 338 2671
2 131 6811
2 202 6563
2 353 1517
2 6 6217
2 404 9504
2 198 3270
2 93 5572
2 227 1787
2 286 4281
2 364 3538
2 386 6214
2 176 7884
2 189 5605
2 250 2440
2 110 4401
2 191 6905
2 22 8430
2 187 4312
2 405 9527
2 181 8120
2 12 6098
2 124 8205
2 86 5279
2 71 1232
2 293 5741
2 255 8434
2 232 2810
2 153 9491
2 154 463
2 218 7781
2 406 9485
2 203 7785
2 402 2746
2 394 3436
2 294 7263
2 20 4819
2 237 3451
2 210 3720
2 371 1930
2 28 8998
2 141 5616
2 27 285
2 211 8755
2 121 5550
2 11 9554
2 330 5254
2 94 2281
2 45 7871
2 348 9448
2 34 6378
2 123 4038
2 175 8116
2 279 9543
2 36 1102
2 370 1951
2 225 6350
2 395 8018
2 114 291
2 196 7786
2 138 6000
2 389 1621
2 44 1632
2 393 4413
2 226 8840
2 231 3063
2 118 7998
2 207 7197
2 242 5760
2 15 4132
2 30 1902
2 52 2169
2 97 5702
2 163 9488
2 336 2613
2 374 4529
2 297 6667
2 165 6407
2 179 2014
2 185 2841
2 120 3450
2 306 4373
2 378 5809
2 221 6776
2 356 7462
2 68 1343
2 400 785
2 133 4658
2 382 8532
2 160 3888
2 354 3699
2 60 3512
2 337 9342
2 283 8700
2 87 6301
2 159 3153
2 262 6021
2 229 5809
2 267 1290
2 253 67
2 136 1789
2 184 4748
2 197 8840
2 41 9304
2 270 2678
2 200 5924
2 310 383
2 139 6678
2 109 746
2 57 6513
2 146 5913
2 101 8072
2 258 1608
2 346 6658
2 167 7860
2 0 997
2 307 4822
2 104 4998
2 129 7860
2 228 2452
2 259 6376
2 277 9941
2 257 5772
2 144 2461
2 360 5057
2 223 3723
2 254 332
2 311 3877
2 282 974
2 312 3129
2 186 9972
2 235 3003
2 244 6658
2 349 3838
2 79 3291
2 377 2136
2 83 5154
2 281 818
2 96 5783
2 238 4718
2 401 2648
2 194 5395
2 145 7748
2 249 8738
2 343 2723
2 3 2956
2 178 7061
2 213 8357
2 170 6013
2 304 3024
2 316 272
2 363 296
2 407 8485
2 74 8921
2 388 3223
2 246 2223
2 329 9033
2 334 8766
2 236 4764
2 37 5456
2 29 4638
2 122 4029
2 369 1420
2 72 6072
2 305 2823
2 69 4869
2 166 8316
2 106 2036
2 182 5156
2 368 9331
2 25 6784
2 347 6577
2 245 5504
2 7 4886
2 320 1561
2 117 2143
2 5 2359
2 381 6152
2 173 2248
2 287 8330
2 222 150
2 32 5096
3 170 9771
3 316 1873
3 234 9484
3 31 9623
3 219 1254
3 363 6736
3 289 7025
3 75 3423
3 74 7620
3 155 8889
3 399 5689
3 329 462
3 236 6629
3 268 9609
3 301 978
3 367 4055
3 37 3908
3 276 4195
3 29 8047
3 190 6463
3 72 2461
3 305 3129
3 299 1795
3 69
